name,price,sku,link
,₨115.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=10600
,₨200.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=10602
,₨300.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=10604
,₨275.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=10605
,₨420.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=11119
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,₨100.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10607
,₨230.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10609
,₨180.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10611
,₨260.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10613
,₨520.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10616
,₨240.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10619
,₨250.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10621
,₨340.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10623
,₨120.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10625
,₨170.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10627
,₨90.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10629
,"₨1,130.00",,https://ziaulquran.com/shop/page/9/?add-to-cart=10632
,₨370.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10635
,₨80.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10637
,₨200.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10642
,₨900.00,,https://ziaulquran.com/shop/page/9/?add-to-cart=10644
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,₨350.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=10646
,₨300.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=10648
,₨180.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=10649
,₨260.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=10651
,"₨1,300.00",,https://ziaulquran.com/shop/page/10/?add-to-cart=10653
,₨800.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=10655
,₨90.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=11108
,₨115.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=10657
,₨270.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=10659
,"₨1,700.00",,https://ziaulquran.com/shop/page/10/?add-to-cart=11104
,"₨1,050.00",,https://ziaulquran.com/shop/page/10/?add-to-cart=11143
,₨160.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=10661
,₨180.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=10663
,₨600.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=10665
,₨110.00,,https://ziaulquran.com/shop/page/10/?add-to-cart=10667
,"₨1,350.00",,https://ziaulquran.com/shop/page/10/?add-to-cart=10669
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,₨770.00,,https://ziaulquran.com/shop/page/11/?add-to-cart=10671
,₨100.00,,https://ziaulquran.com/shop/page/11/?add-to-cart=10674
,"₨1,050.00",,https://ziaulquran.com/shop/page/11/?add-to-cart=9032
